SMILES,log10_KM
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,-0.06222123561617328
OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,0.6334684555795865
OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,-1.0177287669604316
CC(C)=CCOP(=O)(O)OP(=O)(O)O,-1.2111248842245832
Nc1nc2[nH]cnc2c(=O)[nH]1,-2.3665315444204134
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCS,-1.3010299956639813
OC[C@@H](O)C(O)[C@H](O)CO,1.0969100130080565
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,-1.0969100130080565
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,-1.4672878551545476
N[C@@H](CC(=O)c1ccccc1NC=O)C(=O)O,0.3424226808222063
NNC(=O)c1ccncc1,0.7481880270062004
C[C@H](O)[C@H](O)[C@@H](O)C(=O)CO,1.0413926851582251
[Hg+2],-1.8239087409443189
C=O,0.15611577680405242
C[C@H](O)C(=O)O,-1.408935392973501
O=C(O)[C@H](O)COP(=O)(O)O,-0.9222105342615341
O=C(O)CC(=O)C(=O)O,-1.7435244600137547
O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1,-1.1426675035687315
COc1cc(/C=C/C(=O)O)ccc1O,-2.5199930570428495
O=C(O)[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)C(=O)O,-0.20760831050174613
O=C(O)/C=C/c1ccc(O)cc1,-2.384137808335742
N[C@@H](CCS)C(=O)O,-1.1611509092627446
N[C@@H](CS)C(=O)O,-0.4559319556497244
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,-2.0268721464003012
NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,-0.37675070960209955
NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,-1.0
N[C@@H](COP(=O)(O)O)C(=O)O,-0.9486451396847517
NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,-0.8826511901883242
O=P(O)(O)O,0.9617515334710522
O=C(CO)COP(=O)(O)O,-1.0409586076789064
NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,-0.6777807052660807
C[C@]12CC[C@@H](O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,-1.5072396109731625
N[C@@H](CCCC(=O)C(=O)O)C(=O)O,-0.5528419686577808
O=O,-0.8996294548824371
O=C(O)CCC(=O)C(=O)O,-0.3979400086720376
O=C(O)[C@H](O)COP(=O)(O)O,-0.8860566476931632
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,-1.6989700043360187
COc1cc2c(cc1O)[C@H](Cc1ccc(O)cc1)N(C)CC2,-1.1426675035687315
Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,-1.2240256688706308
O=C(O)[C@@H](CO)OP(=O)(O)O,-0.6777807052660807
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,-0.8239087409443188
OO,2.0043213737826426
NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,-1.0457574905606752
O=C(O)c1ccccc1O,-1.7958800173440752
NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,-0.769551078621726
NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,-0.8239087409443188
O=C(CO)[C@@H](O)[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O,-0.5451551399914898
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCS,-0.3566595153225349
*O[C@H]1[C@H](O)[C@@H](NC(C)=O)[C@H](*)O[C@@H]1CO,0.6434526764861874
O=C(O)C(=O)CP(=O)(O)O,-2.795880017344075
Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1,0.11680559536542963
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,0.9867717342662449
O=O,-2.129818655252878
NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,-2.0969100130080562
N[C@@H](CCSC[C@H](N)C(=O)O)C(=O)O,1.0453229787866574
CC(C)[C@H](N)C(=O)O,-1.492069372269145
NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,-1.0457574905606752
NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,-0.8388903526330403
C[C@@H](O)[C@H](N)C(=O)O,1.1231507885858454
NCCC(=O)O,-0.3372421683184259
CCCC(=O)O,1.3010299956639813
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H]([n+]3cccc(C(=O)O)c3)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O,-1.5228787452803376
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)O,-1.7258421507363202
O=C(O)C1=C[C@@H](O)[C@@H](O)[C@H](O)C1,-1.9430951486635273
NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,-2.567273298711561
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,-1.3467874862246563
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,-1.4859428854980747
N[C@@H](CCC[C@H](NC(=O)CCC(=O)O)C(=O)O)C(=O)O,0.145017305681259
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,-1.4587486551274595
Nc1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1,-0.575118363368933
[Fe+2],-2.721246399047171
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,-1.0757207139381184
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCS,-0.6946486305533762
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O,-1.240167483525311
O=c1cc(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,-1.293182501400722
C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,-0.045757490560675115
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)O,-1.1739135605557571
CSCC[C@H](N)C(=O)O,0.1673173347481761
OCc1ccccc1,-0.945109515993212
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,-0.1938200260161128
